,fitness,evaluations,solution,folder
8,0.954,"[0.997, 1.0, 0.999, 0.978, 0.998, 0.993, 0.997, 0.998, 0.991, 0.959]","[0, 0, 7, 6, 3, 0, 8, 9, 8, 2, 3, 0, 0, 3]",GS - 22-10-14-15-45-03
11,1.0,"[0.997, 0.995, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999, 0.998]","[0, 0, 5, 6, 1, 0, 5, 8, 7, 5, 0, 1, 0, 6]",GS - 22-10-19-12-05-33
9,1.0,"[0.984, 1.0, 0.938, 0.996, 0.997, 0.997, 0.993, 0.997, 0.997, 0.999]","[0, 0, 3, 7, 1, 0, 9, 8, 6, 3, 3, 2, 1, 1]",GS - 22-10-19-12-51-51
14,1.0,"[0.991, 1.0, 0.999, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999, 1.0]","[0, 0, 6, 4, 1, 0, 1, 4, 9, 1, 3, 1, 1, 4]",GS - 22-10-19-13-40-04
7,1.0,"[0.962, 0.991, 0.996, 0.996, 0.998, 1.0, 1.0, 1.0, 1.0, 0.999]","[0, 0, 8, 1, 1, 0, 6, 8, 8, 3, 1, 2, 0, 0]",GS - 22-10-19-14-31-51
3,0.997,"[0.976, 0.998, 0.998, 0.997, 0.996, 0.995, 1.0, 0.979, 0.984, 0.998]","[0, 0, 4, 6, 1, 0, 1, 5, 8, 10, 0, 1, 0, 5]",GS - 22-10-19-15-22-11
6,1.0,"[0.983, 0.991, 0.995, 0.994, 0.998, 1.0, 0.999, 1.0, 1.0, 0.999]","[0, 0, 7, 7, 1, 0, 8, 10, 9, 3, 3, 1, 2, 1]",GS - 22-10-19-16-12-41
2,0.999,"[0.987, 0.995, 1.0, 0.999, 0.989, 0.999, 1.0, 0.999, 1.0, 1.0]","[0, 0, 9, 2, 1, 0, 7, 5, 8, 10, 0, 2, 0, 4]",GS - 22-10-19-16-56-56
12,1.0,"[0.998, 1.0, 0.999, 0.998, 0.999, 0.996, 0.994, 0.988, 1.0, 1.0]","[0, 0, 4, 2, 1, 0, 9, 9, 9, 4, 3, 2, 1, 1]",GS - 22-10-24-08-57-43
10,0.997,"[0.992, 1.0, 1.0, 1.0, 0.995, 0.999, 0.998, 0.999, 1.0, 0.999]","[0, 0, 7, 9, 1, 0, 2, 8, 9, 7, 3, 1, 2, 2]",GS - 22-10-24-12-59-58
17,1.0,"[0.996, 0.997, 0.995, 0.959, 0.968, 1.0, 1.0, 1.0, 1.0, 0.999]","[0, 0, 7, 2, 1, 0, 4, 5, 9, 7, 3, 1, 1, 0]",GS - 22-11-02-17-18-26
5,0.999,"[0.996, 0.992, 0.997, 0.999, 0.89, 1.0, 0.996, 1.0, 1.0, 0.999]","[0, 0, 3, 1, 1, 0, 6, 7, 7, 8, 0, 0, 0, 2]",GS - 22-11-02-21-46-04
15,1.0,"[0.996, 0.894, 0.994, 1.0, 1.0, 0.982, 0.981, 0.988, 0.992, 1.0]","[0, 0, 4, 7, 1, 0, 9, 4, 7, 7, 3, 2, 3, 1]",GS - 22-11-03-02-23-41
19,1.0,"[1.0, 0.996, 0.999, 0.974, 0.991, 0.999, 1.0, 0.999, 1.0, 0.998]","[0, 0, 5, 7, 1, 0, 0, 6, 9, 4, 3, 1, 0, 6]",GS - 22-11-03-07-00-16
18,0.999,"[0.998, 0.999, 0.888, 0.999, 1.0, 1.0, 1.0, 1.0, 0.999, 1.0]","[0, 0, 8, 8, 1, 0, 6, 4, 9, 1, 3, 1, 0, 2]",GS - 22-11-03-11-29-16
4,0.999,"[0.992, 0.995, 0.996, 0.998, 0.992, 0.998, 0.993, 0.999, 0.999, 0.998]","[0, 0, 4, 7, 1, 0, 6, 7, 8, 2, 0, 1, 0, 2]",GS - 22-11-03-15-52-31
1,0.998,"[0.997, 0.936, 1.0, 0.995, 1.0, 1.0, 0.998, 0.997, 0.999, 0.999]","[0, 0, 6, 7, 1, 0, 5, 10, 6, 8, 1, 1, 1, 2]",GS - 22-11-03-20-20-53
16,0.997,"[0.982, 1.0, 1.0, 0.997, 0.998, 0.998, 0.994, 0.997, 1.0, 0.997]","[0, 0, 5, 2, 1, 0, 3, 5, 9, 3, 3, 0, 1, 5]",GS - 22-11-04-00-55-28
13,1.0,"[0.989, 0.99, 0.953, 0.992, 0.999, 0.999, 1.0, 1.0, 1.0, 1.0]","[0, 0, 5, 5, 1, 0, 4, 5, 8, 10, 3, 2, 0, 4]",GS - 22-11-04-05-29-00
0,0.998,"[0.998, 0.996, 0.996, 0.997, 0.997, 0.974, 0.998, 0.998, 0.997, 1.0]","[0, 0, 3, 1, 1, 0, 8, 8, 8, 10, 2, 1, 0, 2]",GS - 22-11-04-09-49-37
