"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",NA,NA,NA,NA,NA,NA,NA,0.016,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,0.018,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,0.461,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,0.471,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,0.048,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,0.517,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,0.529,NA,NA,NA,NA
"8",0.982,0.982,0.539,0.529,0.951,0.482,0.471,0.5,0.486,0.479,0.441,0.516
"9",NA,NA,NA,NA,NA,NA,NA,0.514,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,0.521,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,0.559,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,0.484,NA,NA,NA,NA
